Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Product,Quantity,Unit_Price,Discount,Payment_Method,Order_Status,Ship_Mode,Sales,Profit,Cost,Year
ORD104201,2024-01-01,CUST1050,Dillon Hayes,West,Sheffield,Snacks,Stuff Bottle,6,21.61,0.14,Credit Card,Completed,Same-Day,111.51,10.35,101.16,2024
ORD100993,2024-01-01,CUST1857,Brianna Golden,North,Manchester,Produce,Shoulder Box,1,106.13,0.23,Credit Card,Cancelled,Same-Day,81.72,19.46,62.26,2024
ORD103284,2024-01-01,CUST1161,Juan Keller,North,London,Bakery,While Bottle,3,88.11,0.19,Mobile Payment,Pending,Standard,214.11,35.01,179.1,2024
ORD100678,2024-01-01,CUST1451,Katelyn Mejia,West,Leeds,Household,Newspaper Bottle,5,102.64,0.06,Online Payment,Cancelled,Express,482.41,101.34,381.07,2024
ORD100850,2024-01-01,CUST1867,Abigail Davis,North,Bristol,Snacks,Successful Bag,3,32.99,0.18,Credit Card,Completed,Same-Day,81.16,5.55,75.61,2024
ORD101030,2024-01-01,CUST1313,David Mendoza,East,Newcastle,Beverages,Smile Pack,3,120.88,0.19,Online Payment,Completed,Express,293.74,25.8,267.94,2024
ORD103080,2024-01-01,CUST1116,Vanessa Parrish,East,Sheffield,Frozen Foods,Hot Bag,3,122.5,0.22,Online Payment,Pending,Standard,286.65,58.54,228.11,2024
ORD100757,2024-01-01,CUST1754,Yolanda Knight,East,Sheffield,Frozen Foods,What Bottle,8,94.07,0.02,Online Payment,Cancelled,Same-Day,737.51,102.61,634.9,2024
ORD102075,2024-01-01,CUST1131,Jennifer Chan,West,London,Beverages,Ball Set,1,147.54,0.03,Mobile Payment,Completed,Standard,143.11,17.0,126.11,2024
ORD102015,2024-01-01,CUST1803,Angela Fuentes,North,Leeds,Dairy,Prepare Set,7,59.54,0.17,Cash,Pending,Same-Day,345.93,26.13,319.8,2024
ORD100447,2024-01-01,CUST1572,Dana Parker,North,Liverpool,Frozen Foods,Husband Bag,1,58.11,0.04,Cash,Pending,Express,55.79,11.14,44.65,2024
ORD100649,2024-01-01,CUST1633,Ellen Padilla,South,London,Household,Black Bottle,4,35.45,0.23,Online Payment,Pending,Express,109.19,9.5,99.69,2024
ORD103589,2024-01-01,CUST1371,Lauren Clayton,South,Glasgow,Household,Matter Bottle,6,12.87,0.23,Online Payment,Completed,Same-Day,59.46,9.63,49.83,2024
ORD101992,2024-01-01,CUST1269,Michael Robinson,North,Newcastle,Dairy,News Set,2,64.3,0.22,Mobile Payment,Completed,Standard,100.31,17.77,82.54,2024
ORD101166,2024-01-01,CUST1085,Jeffrey Burke,East,Manchester,Frozen Foods,Majority Box,2,106.77,0.07,Mobile Payment,Pending,Same-Day,198.59,19.45,179.14,2024
ORD100063,2024-01-02,CUST1824,Melissa Mayo,South,Sheffield,Frozen Foods,Movie Bag,1,19.3,0.16,Credit Card,Completed,Same-Day,16.21,1.82,14.39,2024
ORD101828,2024-01-02,CUST1823,Thomas Johnson,East,Leeds,Frozen Foods,Themselves Bottle,5,59.77,0.06,Credit Card,Pending,Standard,280.92,64.72,216.2,2024
ORD104769,2024-01-02,CUST1520,Haley Henry,South,London,Household,Drive Bottle,8,67.43,0.15,Online Payment,Cancelled,Express,458.52,108.49,350.03,2024
ORD101292,2024-01-02,CUST1277,Benjamin West,North,London,Bakery,Ahead Bottle,1,11.0,0.03,Online Payment,Cancelled,Standard,10.67,1.74,8.93,2024
ORD100206,2024-01-02,CUST1700,Mr. Matthew Adkins,East,Glasgow,Produce,Lay Bottle,7,85.45,0.09,Cash,Completed,Same-Day,544.32,48.76,495.56,2024
ORD102917,2024-01-02,CUST1481,Brad Davis,West,Liverpool,Produce,Ok Box,2,129.98,0.03,Credit Card,Pending,Express,252.16,46.56,205.6,2024
ORD100263,2024-01-02,CUST1320,Lucas Harrison,East,Liverpool,Dairy,Play Box,6,123.53,0.1,Credit Card,Pending,Same-Day,667.06,102.33,564.73,2024
ORD102178,2024-01-02,CUST1845,Juan Franklin,East,Liverpool,Dairy,Watch Box,1,73.4,0.23,Online Payment,Completed,Express,56.52,8.66,47.86,2024
ORD104333,2024-01-02,CUST1538,Kelly Harris,South,Newcastle,Beverages,Total Set,1,103.81,0.2,Cash,Cancelled,Same-Day,83.05,6.52,76.53,2024
ORD103339,2024-01-02,CUST1462,Kimberly Smith,East,Liverpool,Household,However Pack,5,101.25,0.23,Cash,Completed,Express,389.81,49.38,340.43,2024
ORD101953,2024-01-02,CUST1311,Cindy Moore,South,Manchester,Snacks,Their Box,1,31.92,0.09,Mobile Payment,Cancelled,Express,29.05,6.32,22.73,2024
ORD104259,2024-01-02,CUST1063,Heather Wiggins,East,Birmingham,Household,Bring Box,1,64.39,0.07,Online Payment,Cancelled,Same-Day,59.88,10.88,49.0,2024
ORD103161,2024-01-02,CUST1018,Victoria Gonzalez,East,Leeds,Frozen Foods,Develop Pack,3,136.25,0.21,Credit Card,Cancelled,Standard,322.91,48.98,273.93,2024
ORD104698,2024-01-03,CUST1674,William Medina,North,Manchester,Beverages,Economic Pack,5,135.08,0.07,Online Payment,Pending,Standard,628.12,93.67,534.45,2024
ORD104857,2024-01-03,CUST1086,Jennifer Nelson,South,Manchester,Produce,Deal Bag,8,122.47,0.07,Mobile Payment,Pending,Standard,911.18,80.65,830.53,2024
ORD104215,2024-01-03,CUST1322,Destiny Alexander,South,Birmingham,Dairy,Listen Bottle,1,43.04,0.08,Online Payment,Completed,Same-Day,39.6,2.37,37.23,2024
ORD102326,2024-01-03,CUST1153,Jennifer Jones,East,Leeds,Household,Check Box,3,39.68,0.03,Online Payment,Cancelled,Same-Day,115.47,7.71,107.76,2024
ORD101869,2024-01-03,CUST1826,Scott Hernandez,West,Birmingham,Dairy,Very Set,2,110.7,0.05,Online Payment,Completed,Standard,210.33,49.32,161.01,2024
ORD102129,2024-01-03,CUST1699,Cory Bolton,North,Bristol,Produce,Note Box,3,124.9,0.11,Online Payment,Cancelled,Same-Day,333.48,66.0,267.48,2024
ORD101581,2024-01-03,CUST1760,James Reed,South,London,Beverages,Next Pack,6,99.15,0.11,Credit Card,Pending,Standard,529.46,53.28,476.18,2024
ORD103940,2024-01-03,CUST1170,Stephen Austin,East,Leeds,Beverages,Talk Pack,3,43.23,0.11,Credit Card,Completed,Standard,115.42,24.37,91.05,2024
ORD101521,2024-01-03,CUST1665,Edward Bailey,South,Birmingham,Beverages,Food Box,9,110.48,0.21,Mobile Payment,Completed,Same-Day,785.51,185.6,599.91,2024
ORD104141,2024-01-03,CUST1411,David Cooper,East,Newcastle,Beverages,Officer Bag,4,124.22,0.22,Mobile Payment,Completed,Same-Day,387.57,93.94,293.63,2024
ORD104500,2024-01-03,CUST1403,Amanda Edwards,North,Birmingham,Snacks,The Box,7,84.36,0.04,Online Payment,Cancelled,Same-Day,566.9,48.94,517.96,2024
ORD102663,2024-01-03,CUST1641,Donna Reed,South,Liverpool,Household,Century Bag,3,23.74,0.24,Cash,Pending,Standard,54.13,9.19,44.94,2024
ORD103779,2024-01-03,CUST1535,Daryl Mathews,North,London,Snacks,Six Bottle,7,25.93,0.22,Online Payment,Completed,Same-Day,141.58,11.33,130.25,2024
ORD102737,2024-01-03,CUST1800,Kelly Peterson,West,Bristol,Bakery,Necessary Set,8,52.1,0.2,Mobile Payment,Pending,Express,333.44,70.68,262.76,2024
ORD100897,2024-01-03,CUST1287,Debra Jackson,East,Birmingham,Dairy,Claim Bag,7,110.96,0.19,Mobile Payment,Pending,Same-Day,629.14,146.29,482.85,2024
ORD102683,2024-01-03,CUST1308,Kelsey Williams,East,London,Frozen Foods,Suddenly Box,7,113.19,0.15,Credit Card,Completed,Standard,673.48,136.73,536.75,2024
ORD100970,2024-01-04,CUST1553,Joshua King,East,Liverpool,Beverages,Against Bottle,1,67.68,0.17,Cash,Completed,Standard,56.17,9.09,47.08,2024
